abster-se； abstain/棄權； v. r.；Nas assembleias, muitos cidadãos decidiram abster-se da votação.; de
decalcar； 描摹/模仿； v. t.；O artista decalcou o desenho original.; —
decano； 資深者/院長； s. m.；O decano da faculdade discursou na cerimónia.; —
dececionar； 失望/使沮喪； v. t.；O resultado dececionou toda a equipa.; —
decência； 體面/正派； s. f.；Faltou-lhe a decência de pedir desculpa.; —
decisão； 決策/決定； s. f.；A decisão do tribunal foi unânime.; —
declamação； 朗誦/宣讀； s. f.；A declamação do poema emocionou a plateia.; —
declarar； 申報/聲明； v. t.；Declarou os rendimentos às finanças.; —
declinar； 衰落/謝絕； v. i.；A empresa declinou a proposta de fusão.; —
decompor； 分解/腐爛； v. t.；A matéria orgânica decompõe-se naturalmente.; —
decoro； 禮儀/端莊； s. m.；Falta decoro a quem insulta publicamente.; —
decurso； 過程/推移； s. m.；No decurso da investigação, surgiram novas provas.; —
dedicação； 奉獻/投入； s. f.；A sua dedicação aos doentes é exemplar.; a
dedo； 手指； s. m.；Apontou o dedo ao responsável.; —
defecção； 背叛/脫離； s. f.；A defecção do aliado surpreendeu o governo.; —
defender； 防衛/辯護； v. t.；O advogado defendeu o cliente com afinco.; —
deferimento； 批准/應允； s. m.；O deferimento do pedido chegou por correio.; —
definhar； 枯萎/衰退； v. i.；A planta definhou por falta de água.; —
deflagração； 引爆/爆發； s. f.；A deflagração da bomba ouviu-se a quilómetros.; —
defletir； 偏離/轉向； v. t.；A bola defletiu na trave.; —
deformar； 使變形/歪曲； v. t.；O calor deformou o plástico.; —
defraudar； 欺騙/使失望； v. t.；O vigarista defraudou os investidores.; —
defunto； 死者/已故的； adj.；O corpo do defunto foi velado na capela.; —
degenerar； 退化/墮落； v. i.；A situação degenerou em violência.; em
deglutição； 吞嚥； s. f.；A deglutição tornou-se dolorosa.; —
degredo； 流放/放逐； s. m.；Viveu em degredo numa ilha remota.; —
dejecto； 沮喪的/氣餒的； adj.；O candidato ficou dejecto com a derrota.; —
delapidação； 浪費/揮霍； s. f.；A delapidação dos recursos públicos é crime.; —
delegação； 代表團/委派； s. f.；A delegação portuguesa chegou a Bruxelas.; —
deletério； 有害的/有毒的； adj.；O consumo excessivo de álcool é deletério.; —
deliberação； 審議/決議； s. f.；A deliberação do júri foi longa.; —
delinear； 勾勒/描繪； v. t.；O arquiteto delineou o projeto inicial.; —
delongar； 拖延/延長； v. t.；Não vamos delongar a reunião desnecessariamente.; —
demarcar； 劃界/區分； v. t.；A linha demarca a fronteira entre os países.; —
demência； 痴呆/瘋狂； s. f.；O diagnóstico de demência foi precoce.; —
demissão； 辭職/免職； s. f.；O ministro apresentou a demissão.; —
demolir； 拆除/毀壞； v. t.；O edifício foi demolido por risco de desabamento.; —
demora； 延誤/耽擱； s. f.；A demora na entrega causou prejuízos.; —
demonstração； 示範/證明； s. f.；A demonstração do produto convenceu os clientes.; —
demover； 勸阻/使放棄； v. t.；Ninguém o demoveu da sua intenção.; de
denegrir； 誹謗/抹黑； v. t.；Os adversários tentaram denegrir a sua imagem.; —
denodo； 勇敢/無畏； s. m.；Lutou com denodo pela causa que defendia.; —
denominação； 名稱/命名； s. f.；A denominação social da empresa foi alterada.; —
denotar； 表示/表明； v. t.；O seu comportamento denota insegurança.; —
densidade； 密度/稠密； s. f.；A densidade populacional da cidade é elevada.; —
dentada； 咬傷/咬痕； s. f.；A dentada do cão foi profunda.; —
denúncia； 檢舉/告發； s. f.；A denúncia anónima levou à investigação.; —
deparar； 遇到/碰見； v. r.；Deparou-se com um obstáculo inesperado.; com
departamento； 部門/系； s. m.；O departamento de recursos humanos contratou novos funcionários.; —
dependente； 依賴的/附屬的； adj.；A economia é dependente das exportações.; de
depor； 作證/放置； v. t.；A testemunha depôs em tribunal.; —
depósito； 存款/倉庫； s. m.；O depósito bancário foi creditado.; —
depravação； 墮落/腐敗； s. f.；A depravação moral da sociedade preocupa-o.; —
depreciação； 貶值/貶低； s. f.；A depreciação do imóvel foi calculada.; —
depreender； 推斷/領會； v. t.；Depreende-se do texto que o autor é crítico.; —
depressão； 憂鬱/低壓； s. f.；A depressão económica afetou todos os setores.; —
depuração； 淨化/清洗； s. f.；A depuração da água é essencial.; —
deriva； 漂流/偏離； s. f.；O barco foi à deriva no oceano.; —
derradeiro； 最後的/最終的； adj.；Este foi o seu derradeiro discurso.; —
derrogar； 廢止/減損； v. t.；A nova lei derroga a anterior.; —
derrota； 失敗/擊敗； s. f.；A derrota foi difícil de aceitar.; —
desabrido； 粗暴的/嚴酷的； adj.；O vento desabrido derrubou árvores.; —
desabrochar； 綻放/展現； v. i.；A flor desabrochou na primavera.; —
desacato； 不敬/藐視； s. m.；Desacatar a autoridade é crime.; —
desacreditar； 使失去信譽； v. t.；O escândalo desacreditou a instituição.; —
desafeto； 敵對的/不友善的； adj.；Os dois colegas são desafetos.; —
desafiar； 挑戰/激勵； v. t.；O novo projeto desafia a criatividade da equipa.; —
desagravo； 賠償/道歉； s. m.；Exigiu desagravo público pela ofensa.; —
desalento； 沮喪/氣餒； s. m.；O desalento tomou conta da equipa após a derrota.; —
desamparo； 無助/遺棄； s. m.；A criança vivia em total desamparo.; —
desanuviar； 使晴朗/緩解； v. t.；Uma conversa ajudou a desanuviar o ambiente.; —
desapossar； 剝奪/奪取； v. t.；O governo desapossou os camponeses das terras.; de
desaprovação； 不贊成/反對； s. f.；A proposta foi recebida com desaprovação.; —
desaprovisionar； 使匱乏/耗盡； v. t.；O armazém foi desaprovisionado durante a greve.; —
desarranjo； 混亂/故障； s. m.；O desarranjo no sistema causou atrasos.; —
desassossego； 不安/憂慮； s. m.；O desassossego tomou conta dela antes do exame.; —
desastre； 災難/不幸； s. m.；O desastre ferroviário chocou o país.; —
desatar； 解開/爆發； v. t.；Desatou a chorar quando ouviu a notícia.; —
desavença； 不和/爭吵； s. f.；A desavença entre os sócios levou à dissolução da empresa.; —
desbravar； 開墾/開拓； v. t.；Os pioneiros desbravaram a selva.; —
descalabro； 災難/崩潰； s. m.；O descalabro financeiro foi total.; —
descargo； 卸貨/免除； s. m.；A testemunha falou em seu descargo.; —
descaso； 漠視/不在乎； s. m.；O descaso com a segurança causou o acidente.; —
descomunal； 巨大的/非凡的； adj.；O erro foi descomunal.; —
descortinar； 揭開/發現； v. t.；O inquérito descortinou a verdade.; —
descrédito； 喪失信譽； s. m.；A instituição caiu em descrédito.; —
descrever； 描述/描寫； v. t.；O relatório descreve a situação com detalhe.; —
descuramento； 疏忽/懈怠； s. m.；O descuramiento dos deveres cívicos é preocupante.; —
desde； 從/自從； prep.；Desde criança que mostrava talento para a música.; —
desdenhar； 輕視/鄙視； v. t.；Desdenha toda a ajuda que lhe oferecem.; de
desdesignar； 取消指定； v. t.；A empresa desdesignou o representante.; —
desdita； 不幸/災難； s. f.；A desdita perseguiu-o durante anos.; —
desdobrar； 展開/分拆； v. t.；O plano desdobra-se em várias fases.; —
desejar； 渴望/希望； v. t.；Desejo sinceramente que tudo corra bem.; —
desembaraço； 敏捷/從容； s. m.；Falou com desembaraço perante a plateia.; —
desembarcar； 下船/卸貨； v. i.；Os passageiros desembarcaram no porto.; —
desembocar； 流入/導致； v. i.；O rio desemboca no mar.; em
desempate； 平局打破/決勝； s. m.；O golo de desempate surgiu aos 90 minutos.; —
desempenho； 表現/績效； s. m.；O desempenho da equipa foi excelente.; —
desencadear； 引發/觸發； v. t.；O incidente desencadeou uma crise diplomática.; —
desenlace； 結局/解決； s. m.；O desenlace do romance foi surpreendente.; —
desenrolar； 展開/發生； v. r.；Os acontecimentos desenrolaram-se rapidamente.; —
deserto； 沙漠/荒蕪的； adj.；A praia estava deserta ao amanhecer.; —
desespero； 絕望/失望； s. m.；O desespero tomou conta dos refugiados.; —
desfaçatez； 厚顏無恥； s. f.；Teve a desfaçatez de mentir descaradamente.; —
desfalecer； 昏厥/衰落； v. i.；Desfaleceu devido ao calor intenso.; —
desfalque； 盜用/虧空； s. m.；O desfalque nos cofres públicos foi descoberto.; —
desfecho； 結局/結果； s. m.；O desfecho do jogo foi emocionante.; —
desferir； 發出/打擊； v. t.；O boxeador desferiu um golpe certeiro.; —
desfigurar； 使變形/毀容； v. t.；O acidente desfigurou-lhe o rosto.; —
desflorar； 使失去新鮮感/褻瀆； v. t.；O desenvolvimento urbano desflorou a paisagem.; —
desfraldar； 展開/張開； v. t.；A bandeira foi desfraldada ao vento.; —
desgastar； 磨損/消耗； v. t.；A rotina desgasta a relação.; —
desgraça； 不幸/災難； s. f.；A desgraça abateu-se sobre a família.; —
desígnio； 意圖/計劃； s. m.；O desígnio do projeto é nobre.; —
desigualdade； 不平等/差異； s. f.；A desigualdade social é um problema global.; —
desilusão； 幻想破滅/失望； s. f.；A desilusão amorosa deixou-a triste.; —
desistir； 放棄/退出； v. i.；Nunca desistas dos teus sonhos.; de
deslize； 失誤/小錯； s. m.；O deslize foi perdoado pela equipa.; —
deslumbramento； 眼花繚亂/驚豔； s. m.；O deslumbramento com a cidade era evidente.; —
desmandar； 濫用權力/失控； v. t.；O chefe desmandou-se com os subordinados.; —
desmazelo； 疏忽/邋遢； s. m.；O desmazelo na apresentação prejudicou-o.; —
desmedido； 過度的/無節制的； adj.；A ambição desmedida levou-o à ruína.; —
desmentir； 否認/闢謠； v. t.；O porta-voz desmentiu a notícia.; —
desmerecer； 不值得/貶低； v. t.；O seu trabalho não desmerece elogios.; —
desnortear； 使迷失方向； v. t.；A mudança repentina desnorteou a equipa.; —
desobrigar； 免除義務/解除； v. t.；O certificado desobriga-o de repetir o exame.; de
desolação； 荒涼/悲痛； s. f.；A desolação da paisagem era tocante.; —
desonra； 恥辱/不名譽； s. f.；Preferiu a morte à desonra.; —
despachar； 辦理/發送； v. t.；O funcionário despachou o processo rapidamente.; —
desparelho； 不匹配的/不對稱的； adj.；Os sapatos estavam desparelhos.; —
despedida； 告別/遣散； s. f.；A despedida foi emocionante.; —
despenhar； 墜落/暴跌； v. r.；O avião despenhou-se na montanha.; —
despercebido； 未被注意的； adj.；O erro passou despercebido.; —
despesa； 開支/花費； s. f.；A despesa mensal excede o orçamento.; —
despique； 競賽/較量； s. m.；O despique entre os dois atletas foi intenso.; —
despojar； 剝奪/掠奪； v. t.；Os ladrões despojaram a casa de tudo.; de
desporto； 體育/運動； s. m.；O desporto é essencial para a saúde.; —
despotismo； 專制/暴政； s. m.；O despotismo do regime oprimia o povo.; —
despovoar； 使人口減少； v. t.；A guerra despovoou a região.; —
desprender； 釋放/鬆開； v. r.；O gás desprendeu-se do recipiente.; de
despretensioso； 不矯飾的/謙遜的； adj.；O restaurante é despretensioso mas excelente.; —
despropósito； 荒謬/不合邏輯； s. m.；O que ele disse foi um despropósito.; —
desqualificar； 取消資格/貶低； v. t.；O atleta foi desqualificado por doping.; —
desregramento； 放縱/無節制； s. m.；O desregramento nos gastos levou à falência.; —
destarte； 如此/這樣； adv.；Destarte, concluímos que a teoria é válida.; —
destempero； 失調/暴躁； s. m.；O destempero do condutor causou o acidente.; —
destinação； 用途/目的地； s. f.；A destinação dos fundos é transparente.; —alvitrar；提出（意見、建議）；verbo transitivo；O perito alvitrou uma solução diplomática para o conflito.；alvitrar que
consubstanciar；具體化；verbo transitivo；Este projeto consubstancia os ideais da nossa organização.；consubstanciar-se em
desiderato；願望、渴求之物；substantivo masculino；O seu maior desiderato era ver a paz restaurada na região.；desiderato de
efabulação；虛構、編造；substantivo feminino；A sua efabulação era tão detalhada que ninguém suspeitava da verdade.；efabulação sobre
fragoroso；轟動的、響亮的；adjetivo；O fracasso fragoroso do projeto levou à demissão do diretor.；fragoroso em
